LEVEL_3_CO,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,RANGE_AREA,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,ENDEMIC_SEQ,GEN_DUP
BOL,6727,0.495178505704821,13585,8.30776591829223,4,6359249.03153478,2604,0.191682002208318,0.704747883695252,0.164362519201229,0.0266999447920501
AGW,3035,0.590007776049767,5144,9.29024105754277,4,5599201.77705676,838,0.162908242612753,0.732115085536547,0.275656324582339,0.0341204558709176
BZL,7332,0.427996030587823,17131,5.36822135310256,2,4302675.81513105,6824,0.39834218667912,0.631370030938066,0.24179366940211,0.0218541131574339
MLY,3857,0.474415744157442,8130,9.09520295202952,4,4007179.55711316,2029,0.249569495694957,0.24169741697417,0.147363233119763,0.028490159901599
SUM,2943,0.439384891012242,6698,9.24843236787101,4,4154424.38594954,1797,0.268289041504927,0.148850403105405,0.0790205898720089,0.0272306098835473
BIS,661,0.475197699496765,1391,12.1250898634076,4,4669611.98457225,233,0.167505391804457,0.451473759884975,0.0600858369098712,0.0332943925233645
SOL,803,0.440241228070175,1824,11.8991228070175,4,4477456.35041118,417,0.228618421052632,0.305921052631579,0.0647482014388489,0.0302734375
BOR,3776,0.348789950120081,10826,5.50997598374284,1,2621248.20124515,5978,0.552189174210235,0.279419915019398,0.17514218802275,0.0186934232403473
MXE,6270,0.586803930744034,10685,10.0926532522227,4,4000464.63197099,2041,0.191015442208704,0.768179691155826,0.335129838314552,0.0343918167992513
MXS,6958,0.528362062419318,13169,9.15088465335257,4,3502740.40425849,2701,0.205102893158175,0.70028096286734,0.253980007404665,0.0288574255828081
CAL,4276,0.76521116678597,5588,11.6071939871152,3,4675202.29441482,1512,0.2705798138869,0.888332140300644,0.578042328042328,0.0472007538475304
CHC,10739,0.585423026602704,18344,7.17340819886611,2,4795060.28930931,6368,0.347143480157,0.614533362407327,0.350502512562814,0.0429517144570432
CHS,6811,0.664812103465105,10245,10.1638848218643,3,6307741.59309712,2456,0.239726695949244,0.563591996095656,0.371335504885993,0.054204032454856
ALA,2496,0.856848609680742,2913,25.8050120151047,19,6443841.00038792,27,0.00926879505664264,0.779265362169585,0.407407407407407,0.0702534972536904
ARK,1810,0.867689357622244,2086,30.3072866730585,25,7726274.69678332,15,0.00719079578139981,0.680728667305848,0.333333333333333,0.0791848933365292
GEO,2480,0.859916782246879,2884,25.4344660194175,19,6283634.02918863,18,0.00624133148404993,0.618585298196949,0.222222222222222,0.0708001040221914
NCA,2386,0.860750360750361,2772,28.4264069264069,22,7240397.00503968,29,0.0104617604617605,0.746392496392496,0.172413793103448,0.0743427579365079
SCA,2182,0.869669190912714,2509,27.3212435233161,21,6767004.40955759,6,0.00239139099242726,0.691510561976883,0.333333333333333,0.0740116829414109
