"","area","trait","completeness"
"1","BOL","Plant growth form",0.742795291570829
"2","AGW","Plant growth form",0.618514371033968
"3","BZL","Plant growth form",0.579968944099379
"4","MLY","Plant growth form",0.366304101518242
"5","SUM","Plant growth form",0.365151922559828
"6","BIS","Plant growth form",0.349273607748184
"7","SOL","Plant growth form",0.337198929527208
"8","BOR","Plant growth form",0.25472019050859
"9","MXE","Plant growth form",0.656244416651778
"10","MXS","Plant growth form",0.636480778867492
"11","DEN","Plant growth form",0.844617092119867
"12","FIN","Plant growth form",0.607309817254569
"13","FOR","Plant growth form",0.902234636871508
"14","GRB","Plant growth form",0.62986365147988
"15","ICE","Plant growth form",0.60559796437659
"16","IRE","Plant growth form",0.805266805266805
"17","NOR","Plant growth form",0.752054132431126
"18","SWE","Plant growth form",0.499462076385153
"19","AUT","Plant growth form",0.756251645169781
"20","BGM","Plant growth form",0.865139949109415
"21","CZE","Plant growth form",0.741935483870968
"22","GER","Plant growth form",0.802333889021196
"23","HUN","Plant growth form",0.809617658651951
"24","NET","Plant growth form",0.858378378378378
"25","POL","Plant growth form",0.818086956521739
"26","SWI","Plant growth form",0.790711521286097
"27","COR","Plant growth form",0.806333180357962
"28","FRA","Plant growth form",0.651953804777725
"29","SPA","Plant growth form",0.558066447171506
"30","GRC","Plant growth form",0.579006985085898
"31","ITA","Plant growth form",0.680715838769025
"32","ROM","Plant growth form",0.7526790750141
"33","YUG","Plant growth form",0.671961581086073
"34","BLT","Plant growth form",0.847350230414747
"35","BLR","Plant growth form",0.925625422582826
"36","RUC","Plant growth form",0.799417192812045
"37","RUE","Plant growth form",0.72755905511811
"38","RUN","Plant growth form",0.716851558372953
"39","UKR","Plant growth form",0.745549416820135
"40","ALT","Plant growth form",0.633537989255564
"41","BRY","Plant growth form",0.677169707020453
"42","CTA","Plant growth form",0.696533682145193
"43","IRK","Plant growth form",0.699177438307873
"44","KRA","Plant growth form",0.675865294667914
"45","TVA","Plant growth form",0.630524454920448
"46","WSB","Plant growth form",0.732388125830749
"47","AMU","Plant growth form",0.687282835302293
"48","KAM","Plant growth form",0.763572679509632
"49","KHA","Plant growth form",0.665233745298227
"50","KUR","Plant growth form",0.691085613415711
"51","MAG","Plant growth form",0.7144
"52","PRM","Plant growth form",0.622745490981964
"53","SAK","Plant growth form",0.677033492822967
"54","NCS","Plant growth form",0.609672691744016
"55","TCS","Plant growth form",0.511162707626362
