"area","trait","completeness"
"BOL","Plant growth form",0.742795291570829
"AGW","Plant growth form",0.618514371033968
"BZL","Plant growth form",0.579968944099379
"MLY","Plant growth form",0.366304101518242
"SUM","Plant growth form",0.365151922559828
"BIS","Plant growth form",0.349273607748184
"SOL","Plant growth form",0.337198929527208
"BOR","Plant growth form",0.25472019050859
"MXE","Plant growth form",0.656244416651778
"MXS","Plant growth form",0.636480778867492
"DEN","Plant growth form",0.844617092119867
"FIN","Plant growth form",0.607309817254569
"FOR","Plant growth form",0.902234636871508
"GRB","Plant growth form",0.62986365147988
"ICE","Plant growth form",0.60559796437659
"IRE","Plant growth form",0.805266805266805
"NOR","Plant growth form",0.752054132431126
"SWE","Plant growth form",0.499462076385153
"AUT","Plant growth form",0.756251645169781
"BGM","Plant growth form",0.865139949109415
"CZE","Plant growth form",0.741935483870968
"GER","Plant growth form",0.802333889021196
"HUN","Plant growth form",0.809617658651951
"NET","Plant growth form",0.858378378378378
"POL","Plant growth form",0.818086956521739
"SWI","Plant growth form",0.790711521286097
"COR","Plant growth form",0.806333180357962
"FRA","Plant growth form",0.651953804777725
"SPA","Plant growth form",0.558066447171506
"GRC","Plant growth form",0.579006985085898
"ITA","Plant growth form",0.680715838769025
"ROM","Plant growth form",0.7526790750141
"YUG","Plant growth form",0.671961581086073
"BLT","Plant growth form",0.847350230414747
"BLR","Plant growth form",0.925625422582826
"RUC","Plant growth form",0.799417192812045
"RUE","Plant growth form",0.72755905511811
"RUN","Plant growth form",0.716851558372953
"UKR","Plant growth form",0.745549416820135
"ALT","Plant growth form",0.633537989255564
"BRY","Plant growth form",0.677169707020453
"CTA","Plant growth form",0.696533682145193
"IRK","Plant growth form",0.699177438307873
"KRA","Plant growth form",0.675865294667914
"TVA","Plant growth form",0.630524454920448
"WSB","Plant growth form",0.732388125830749
"AMU","Plant growth form",0.687282835302293
"KAM","Plant growth form",0.763572679509632
"KHA","Plant growth form",0.665233745298227
"KUR","Plant growth form",0.691085613415711
"MAG","Plant growth form",0.7144
"PRM","Plant growth form",0.622745490981964
"SAK","Plant growth form",0.677033492822967
"NCS","Plant growth form",0.609672691744016
"TCS","Plant growth form",0.511162707626362
"TUR","Plant growth form",0.364075228804184
"CHC","Plant growth form",0.292637511952091
"CHI","Plant growth form",0.671294223018361
"CHM","Plant growth form",0.662096774193548
"CHX","Plant growth form",0.491309385863268
"MON","Plant growth form",0.572687224669604
"JAP","Plant growth form",0.4071980403241
"ASK","Plant growth form",0.961483594864479
"ALU","Plant growth form",0.964864864864865
"GNL","Plant growth form",0.946462715105163
"NWT","Plant growth form",0.964285714285714
"NUN","Plant growth form",0.956310679611651
"YUK","Plant growth form",0.963963963963964
"ABT","Plant growth form",0.973088685015291
"BRC","Plant growth form",0.974645466265578
"MAN","Plant growth form",0.976951672862454
"SAS","Plant growth form",0.971071149335418
"LAB","Plant growth form",0.976551724137931
"NBR","Plant growth form",0.977856510186005
"NFL","Plant growth form",0.969154228855721
"NSC","Plant growth form",0.974842767295597
"ONT","Plant growth form",0.975832193342453
"QUE","Plant growth form",0.963701431492842
"COL","Plant growth form",0.974247370330069
